case_id,category,admdong_hint,longitude,latitude,memo
case_01,apt_residential,동탄1동,127.0833,37.2034,동탄역 인근 아파트 (예시 좌표 — 실제 좌표로 교체)
case_02,apt_residential,봉담읍,126.9856,37.2120,봉담 아파트 단지 (예시)
case_03,apt_residential,남양읍,126.8120,37.1980,남양 아파트 (예시)
case_04,apt_residential,향남읍,126.9050,37.0700,향남 아파트 (예시)
case_05,apt_residential,정남면,126.9300,37.1500,정남 아파트 (예시)
case_06,industrial,동탄2동,127.1100,37.2200,동탄 산단 옥상 (예시)
case_07,industrial,봉담읍,126.9950,37.2200,봉담 산단 (예시)
case_08,industrial,팔탄면,126.8800,37.1300,팔탄 산단 (예시)
case_09,industrial,장안면,126.8400,37.0500,장안 산단 (예시)
case_10,industrial,우정읍,126.7800,37.1100,우정 산단 (예시)
case_11,public,동탄1동,127.0810,37.2050,학교 (예시)
case_12,public,봉담읍,126.9870,37.2110,관공서 (예시)
case_13,public,남양읍,126.8130,37.1990,주민센터 (예시)
case_14,public,향남읍,126.9060,37.0710,학교 (예시)
case_15,detached_house,봉담읍,126.9880,37.2130,단독주택 (예시)
case_16,detached_house,장안면,126.8410,37.0510,단독주택 (예시)
case_17,detached_house,팔탄면,126.8810,37.1310,단독주택 (예시)
case_18,commercial,동탄1동,127.0820,37.2040,상가건물 (예시)
case_19,commercial,봉담읍,126.9860,37.2120,상가건물 (예시)
case_20,commercial,향남읍,126.9055,37.0705,상가건물 (예시)
